COUNTRY,TITLE,CHANNELTITLE,VIEW_COUNT,RK
BR,"MEU DEUS TITE, COLOCA O RAPHINHA DE TITULAR SEMPRE!! RAPHINHA DESTRUIU O URUGUAI COM DOIS GOLS!!",Full,82149,1
BR,♫ NEYMAR TÁ DE VOLTA!! E A DUPLA COM RAPHINHA DECOLOU! | Paródia Mulher Kamasutra 2 - MC Livinho,FutParódias,814491,2
BR,🎙PRONUNCIAMENTO DO PRESIDENTE SÉRGIO SANTOS RODRIGUES,Cruzeiro Esporte Clube,78753,3
CA,Sore loser! An idiot! Tyson Fury reveals what was said between him & Deontay Wilder after huge win,BT Sport Boxing,6913800,1
CA,World's Smallest TV | OT 30,Dude Perfect,6222811,2
CA,#AsianQualifiers - Group A : IR Iran 1 - 1 Korea Republic,AFC Asian Cup,533829,3
DE,Dreierpack Firmino! | FC Watford - FC Liverpool | Highlights - Premier League 2021/22,Sky Sport Austria,92603,1
DE,REALTALK: DAS ist Thomas Müllers Lieblings-Eis (mit @coldmirror),WUMMS,69521,2
DE,Jannikfreestyle Ultras❗️😱 #Shorts,jannikfreestyle,465937,3
FR,JE TEST LE SKATE VERSACE ! (590€),Joseph Garbaccio,82727,1
FR,*37 JUNINHO - CONTES DE FOOT,Contes de Foot,75679,2
FR,J'ai tiré 100 FOIS face à un GARDIEN de LIGUE 1 et j'ai marqué ___ buts (avec @Evan Switch),LEVY,74081,3
GB,The third Deontay Wilder - Tyson Fury fight lived up to the expectations - Shannon I UNDISPUTED,Skip and Shannon: UNDISPUTED,980545,1
GB,Ringside POV: Every Knock Down and KO From Tyson Fury vs. Deontay Wilder Trilogy Fight,Sporting News,925023,2
GB,"The Overlap Live Fan Debate 2.0: Gary Neville, Jamie Carragher & Paul Scholes | PL Returns Part 1",The Overlap,881660,3
IN,IPL 2021 Final Live | CSK vs KKR Final Live | Chennai Super Kings vs Kolkata Knight Riders Live,Sports Updates By Chandan 1,931830,1
IN,CHENNAI - the GREATEST Ind T20 League team EVER? | Betway Cricket Chaupaal E128 | Aakash Chopra,Aakash Chopra,647440,2
IN,BREAKING: Mentor Dhoni से लेकर Coach Dravid से लेकर Chahal तक Virat ने तोड़ी चुप्पी | SPORTS TAK,Sports Tak,609921,3
JP,【ハイライト・実況】W杯アジア最終予選　森保ジャパン、絶体絶命の大一番！首位オーストラリアを撃破！(2021年10月12日),ANNnewsCH,902379,1
JP,お待たせしました！『ミスタードラゴンズ』立浪和義が初登場！井端もド緊張のSP対談！来季ドラゴンズ構想は？まさかの新レギュラー候補の名前が・・・,燃えドラch【CBCテレビ公式】,644618,2
JP,【スタンレーレディス最終日】渋野日向子ハイライト,JLPGAオフィシャルチャンネル,450253,3
KR,홍석천 집에서 일어난 일... ㅣ 프로틴스 101,피지컬갤러리,745713,1
KR,AN INCREDIBLE COMEBACK AT VILLA PARK! | Aston Villa 2-3 Wolves | Highlights,Wolves,718354,2
KR,'진짜'들의 '진짜' 축구｜해외축구 주간 모음.zip,SPOTV 오리지널,495864,3
MX,Dodgers vs. Giants NLDS Game 5 Highlights (10/14/21) | MLB Highlights,MLB,902793,1
MX,Resumen y goles | Chivas 4-1 León | Partido Amistoso | TUDN,TUDN México,848761,2
MX,Hugo Pérez habló claro sobre el próximo duelo frente a México por la Octagonal de Concacaf,Deportes Canal 4,75138,3
RU,ЛУЧШИЙ БОЙ ГОДА! ТАКОЕ СТОИЛО ЖДАТЬ! / Владимир Минеев vs. Магомед Исмаилов / Mineev vs. Ismailov,FIGHT NIGHTS GLOBAL TV,856327,1
RU,Day 1 - Tatami 2: Paris Grand Slam 2021,Judo,72946,2
RU,Day 1 - Tatami 3: Paris Grand Slam 2021,Judo,59388,3
US,The third Deontay Wilder - Tyson Fury fight lived up to the expectations - Shannon I UNDISPUTED,Skip and Shannon: UNDISPUTED,980545,1
US,Dodgers vs. Giants NLDS Game 5 Highlights (10/14/21) | MLB Highlights,MLB,902793,2
US,FIGHT HIGHLIGHTS | Anthony Joshua vs. Oleksandr Usyk,DAZN Boxing,8639065,3
