COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,VIEW_COUNT,LIKES_RATIO
BR,2020-08-01,NÍVEA SOARES | REI DO MEU CORAÇÃO (CLIPE OFICIAL),Nívea Soares,99940,10.82
CA,2020-08-01,SIDEMEN GUESS THE FAKE RAPPER,SidemenReacts,999966,15.37
DE,2020-08-01,GReeeN - Leben (prod. SINTH & IrieVibrations),GReeeN,99897,13.03
FR,2020-08-01,ACCROBRANCHE EN COUPLE ? MAUVAISE IDÉE ! ft. @Tibo InShape,Juju Fitcats,999539,7.41
GB,2020-08-01,SIDEMEN GUESS THE FAKE RAPPER,SidemenReacts,999966,15.37
IN,2020-08-01,12 PLATES PUNJABI NOODLES EATING CHALLENGE | Punjabi Food Challenge | Noodles | Viwa Food World,Viwa Food World,998435,8.13
JP,2020-08-01,【頂上決戦】大食い対決をしてたらまさかの結果にwwwww【くれまぐ】,スカイピースの平和島,998479,2.98
KR,2020-08-01,"시즌 1위 기록 박원진 vs 시즌 2위 기록 비웨사, 고등부 남자 100m 최강자들의 승부",MBC스포츠탐험대,999486,0.7
MX,2020-08-01,Nintendo Direct Mini: Partner Showcase - Agosto de 2020,Nintendo España,99952,5.48
RU,2020-08-01,СРОЧНО!! 🔥 УРА😄 УЗБЕКИСТАН 🇺🇿 ПОСТАВИЛ ПОЕЗДА ИЗ РОССИИ 28.08.2020,PLANETA UZ,99925,6.15
US,2020-08-01,SIDEMEN GUESS THE FAKE RAPPER,SidemenReacts,999966,15.37
BR,2020-09-01,FIZ MINHA TATUAGEM FINALMENTE ‹ EduKof ›,AM3NlC,999524,10.91
CA,2020-09-01,Microsoft Duo Durability Test! - How Thin is too Thin?!,JerryRigEverything,999171,5.35
DE,2020-09-01,187 Gang,Bonez MC - Topic,999592,3.4
FR,2020-09-01,Une 206 WRC pour 20k€ !?! Vente aux enchères Musée Aventure Peugeot 20/09/2020,Movie Cars Central,99989,3.8
GB,2020-09-01,HIGHLIGHTS | Southampton 7-1 Swansea | PRE-SEASON FRIENDLY,Southampton FC,99956,1.62
IN,2020-09-01,Mechanic Alaparaigal - Nakkalites,Nakkalites,998820,6.95
JP,2020-09-01,児嶋だけど中国風チャイボーグメイクやってみたら、整形級に盛れてガチ大勝利♪,児嶋だよ!,999911,6.33
KR,2020-09-01,"실물 공개된 LG 윙 (Wing), 신박한 스마트폰 자세히 살펴보기!",이퓨,99980,0.92
MX,2020-09-01,Lamborghini Huracan | Como es Vivir con un Coche de 350.000$?,vicesat,999629,5.94
RU,2020-09-01,İyi Günde Kötü Günde 3. Bölüm 2. Fragman,İyi Günde Kötü Günde,999184,2.3
US,2020-09-01,Microsoft Duo Durability Test! - How Thin is too Thin?!,JerryRigEverything,999171,5.35
BR,2020-10-01,Nada Pode Calar Um Adorador,Eyshila - Topic,99954,2.81
CA,2020-10-01,Loma and Lopez Finally Come Face to Face | Weigh-In Highlight,Top Rank Boxing,999343,1.14
DE,2020-10-01,Mutig! André legt sein Leben in die Hände von Evelyn | Das Supertalent vom 17.10.2020,Das Supertalent,99976,1.86
FR,2020-10-01,Le plus gros piratage d'une chaîne de télé en France - Une dose de curiosité #7,Ludovic B,99980,9.29
GB,2020-10-01,Loma and Lopez Finally Come Face to Face | Weigh-In Highlight,Top Rank Boxing,999343,1.14
IN,2020-10-01,Making a Boat Using Bladder Balls | क्या इस नाव से पानी में तैर सकते हैं? Very Surprising Result,Crazy XYZ,998871,11.36
JP,2020-10-01,劇場版「鬼滅の刃」無限列車編 本予告　2020年10月16日（金）公開,アニプレックス,999895,2.26
KR,2020-10-01,UFC 정찬성vs오르테가 승자예상(Feat. 로드FC 전 밴텀급 챔피언),키보드워리어TV,99976,1.59
MX,2020-10-01,El Misterio más Grande de Minecraft Resuelto,Zico Tops,999692,10.54
RU,2020-10-01,ЛУАЗы КОТОРЫХ ВЫ НИКОГДА НЕ ВИДЕЛИ | авто ссср #105,Kostas TV [ АВТО СССР ],99936,1.41
US,2020-10-01,Loma and Lopez Finally Come Face to Face | Weigh-In Highlight,Top Rank Boxing,999343,1.14
BR,2020-11-01,[Stray Kids : SKZ-RECORD] HAN I GOT IT,Stray Kids,999849,26.61
