COUNTRY,CATEGORY_TITLE,TITLE,CHANNELTITLE,VIEW_COUNT,RK
BR,Comedy,A CHATA DA MINHA IRMÃ 43/SEM NOÇÃO,Wiris Viana,999898,1
BR,People & Blogs,Nossa Nova Casa! Sejam todos bem-vindos...,Viniccius13 (Novo Canal),999894,2
BR,People & Blogs,[Stray Kids : SKZ-RECORD] HAN I GOT IT,Stray Kids,999849,3
CA,Pets & Animals,Jurassic Park with a Cat — Behind the Scenes,OwlKitty,999997,1
CA,Howto & Style,"Every Outfit Emma Chamberlain Wears in a Week | 7 Days, 7 Looks | Vogue",Vogue,999994,2
CA,Comedy,THIS YOUTUBER CHALLENGE UNCLE ROGER (Joshua Weissman),mrnigelng,999994,2
DE,Pets & Animals,Jurassic Park with a Cat — Behind the Scenes,OwlKitty,999997,1
DE,Howto & Style,"Every Outfit Emma Chamberlain Wears in a Week | 7 Days, 7 Looks | Vogue",Vogue,999994,2
DE,People & Blogs,Willkommen zu meinem ersten Vlog.,Memira,99999,3
FR,Science & Technology,Dites-le avec des angiospermes 🌼🌷🌹 | Un Créatif | Le Vortex#35,Le Vortex,99998,1
FR,Sports,Flèche Wallonne Hommes 2021 - Last KM,Tour de France,99995,2
FR,People & Blogs,Freddy découvre comment on l'a piégé pendant le il fait tout noir #17 (vidéo bonus),Aurélien Préveaux - Chaîne secondaire,99995,2
GB,Pets & Animals,Jurassic Park with a Cat — Behind the Scenes,OwlKitty,999997,1
GB,Comedy,THIS YOUTUBER CHALLENGE UNCLE ROGER (Joshua Weissman),mrnigelng,999994,2
GB,Film & Animation,SCP-953 Polymorphic Humanoid (SCP Animation),TheRubber,999977,3
IN,Comedy,Office Ki Politics || Elvish Yadav,Elvish yadav,999960,1
IN,People & Blogs,MASTER THALAPATHY VIJAY CAR REVIEW !! 1984 Contessa Modified - Chennai,DAN JR VLOGS,999869,2
IN,Sports,Yummy BEAR Cake Birthday #Shorts,Satisfying Cakes,99968,3
JP,Howto & Style,児嶋だけど中国風チャイボーグメイクやってみたら、整形級に盛れてガチ大勝利♪,児嶋だよ!,999911,1
JP,Film & Animation,劇場版「鬼滅の刃」無限列車編 本予告　2020年10月16日（金）公開,アニプレックス,999895,2
JP,Gaming,FINAL FANTASY VII REMAKE INTERGRADE – PS5 Announcement Trailer,スクウェア・エニックス,999854,3
KR,Science & Technology,"실물 공개된 LG 윙 (Wing), 신박한 스마트폰 자세히 살펴보기!",이퓨,99980,1
KR,People & Blogs,연매출 120억 34살 칼국수집 사장님이 주차요원을 하는 이유 [조조칼국수] 1화,휴먼스토리,999783,2
KR,People & Blogs,"[단독] '쯔양, 입맛 돌아와...' 아주머니 경악",tzuyang쯔양,999781,3
MX,People & Blogs,TENEMOS CASA NUEVA 🏠 ¿CUÁL ELEGÍ? MIS PAPÁS REACCIONAN 🤭| CONNY MERLÍN,Conny Merlin,999983,1
MX,Gaming,DESTROZANDO MI ÁRBOL DE NAVIDAD - DjMaRiiO,DjMaRiiO,999973,2
MX,News & Politics,"¡GANAN MILLONES DE PESOS POR JUGAR FREEFIRE! 💰🔥(ElChino_RB,RE4LG4LIFE,TheNino,Domidios,DaniGamer)",El Show De Carlos Durán,999915,3
RU,News & Politics,БИШКЕКТЕ МЫНЧАЛЫК САЛЮТ АТЫЛГАН ЭМЕС! Садыр ПРЕЗИДЕНТ!,TREND KG,99996,1
RU,News & Politics,Срочные новости Казахстана! 08.01.2022 (10:00),Atameken Business News / Атамекен Бизнес Новости,99994,2
RU,Comedy,ГЛАВНЫЙ СПЕЦИАЛИСТ ПО ПАНДЕМИИ ВСЕ ОБЪЯСНИЛА.,Александр Балу,99980,3
US,Pets & Animals,Jurassic Park with a Cat — Behind the Scenes,OwlKitty,999997,1
US,Howto & Style,"Every Outfit Emma Chamberlain Wears in a Week | 7 Days, 7 Looks | Vogue",Vogue,999994,2
US,Comedy,THIS YOUTUBER CHALLENGE UNCLE ROGER (Joshua Weissman),mrnigelng,999994,2
